lon,lat,num_farmers,dissem_30,dissemS_30,dissem_15,dissem_15_30,dissemS_15_30,dissem33_30,dissem33_15,dissem33_15_30,dissem33N6_15
96,34,,0,0,0,0,0,0,0,0,0
70,20,78508.68,0,0,0,0,0,0,0,0,0
72,30,872.9635,0,0,0,0,0,0,0,0,0
94,38,,0,0,0,0,0,0,0,0,0
70,34,,0,0,0,0,0,0,0,0,0
86,28,,0,0,0,0,0,0,0,0,0
70,18,,0,0,0,0,0,0,0,0,0
78,36,525.32788,0,0,0,0,0,0,0,0,0
94,32,,0,0,0,0,0,0,0,0,0
72,12,,0,0,0,0,0,0,0,0,0
96,20,,0,0,0,0,0,0,0,0,0
96,14,,0,0,0,0,0,0,0,0,0
70,12,,0,0,0,0,0,0,0,0,0
70,14,,0,0,0,0,0,0,0,0,0
90,10,,0,0,0,0,0,0,0,0,0
100,30,,0,0,0,0,0,0,0,0,0
88,36,,0,0,0,0,0,0,0,0,0
92,22,38438.602,0,0,0,0,0,0,0,0,0
80,12,314811.53,0,0,0,0,0,0,0,0,0
86,14,,0,0,0,0,0,0,0,0,0
88,10,,0,0,0,0,0,0,0,0,0
84,16,,0,0,0,0,0,0,0,0,0
92,36,,0,0,0,0,0,0,0,0,0
98,22,,0,0,0,0,0,0,0,0,0
86,16,,0,0,0,0,0,0,0,0,0
68,18,,0,0,0,0,0,0,0,0,0
76,38,,0,0,0,0,0,0,0,0,0
98,38,,0,0,0,0,0,0,0,0,0
88,8,,0,0,0,0,0,0,0,0,0
90,18,,0,0,0,0,0,0,0,0,0
84,36,,0,0,0,0,0,0,0,0,0
80,38,,0,0,0,0,0,0,0,0,0
84,14,,0,0,0,0,0,0,0,0,0
88,30,,0,0,0,0,0,0,0,0,0
80,32,8927.8145,0,0,0,0,0,0,0,0,0
88,34,,0,0,0,0,0,0,0,0,0
86,36,,0,0,0,0,0,0,0,0,0
76,36,1165.0198,0,0,0,0,0,0,0,0,0
74,38,,0,0,0,0,0,0,0,0,0
94,6,857.97406,0,0,0,0,0,0,0,0,0
90,16,,0,0,0,0,0,0,0,0,0
74,10,,0,0,0,0,0,0,0,0,0
88,38,,0,0,0,0,0,0,0,0,0
100,38,,0,0,0,0,0,0,0,0,0
72,38,,0,0,0,0,0,0,0,0,0
70,30,,0,0,0,0,0,0,0,0,0
86,38,,0,0,0,0,0,0,0,0,0
72,34,,0,0,0,0,0,0,0,0,0
82,34,,0,0,0,0,0,0,0,0,0
68,14,,0,0,0,0,0,0,0,0,0
72,20,183056.47,0,0,0,0,0,0,0,0,0
96,12,,0,0,0,0,0,0,0,0,0
98,36,,0,0,0,0,0,0,0,0,0
72,18,15145.259,0,0,0,0,0,0,0,0,0
68,24,21348.139,0,0,0,0,0,0,0,0,0
86,20,980116.56,0,0,0,0,0,0,0,0,0
98,20,,0,0,0,0,0,0,0,0,0
84,32,,0,0,0,0,0,0,0,0,0
70,10,,0,0,0,0,0,0,0,0,0
90,12,,0,0,0,0,0,0,0,0,0
98,34,,0,0,0,0,0,0,0,0,0
78,38,,0,0,0,0,0,0,0,0,0
82,8,,0,0,0,0,0,0,0,0,0
70,26,93537.414,0,0,0,0,0,0,0,0,0
82,12,,0,0,0,0,0,0,0,0,0
90,8,,0,0,0,0,0,0,0,0,0
76,10,1276477,0,0,0,0,0,0,0,0,0
84,18,584557.25,0,0,0,0,0,0,0,0,0
96,8,,0,0,0,0,0,0,0,0,0
74,8,2262,0,0,0,0,0,0,0,0,0
96,16,,0,0,0,0,0,0,0,0,0
90,32,,0,0,0,0,0,0,0,0,0
68,8,,0,0,0,0,0,0,0,0,0
100,14,,0,0,0,0,0,0,0,0,0
94,30,620.14532,0,0,0,0,0,0,0,0,0
90,30,,0,0,0,0,0,0,0,0,0
68,22,1972.8401,0,0,0,0,0,0,0,0,0
84,30,,0,0,0,0,0,0,0,0,0
96,38,,0,0,0,0,0,0,0,0,0
78,8,382594.63,0,0,0,0,0,0,0,0,0
68,26,,0,0,0,0,0,0,0,0,0
92,12,6898.1084,0,0,0,0,0,0,0,0,0
96,18,,0,0,0,0,0,0,0,0,0
98,16,,0,0,0,0,0,0,0,0,0
94,36,,0,0,0,0,0,0,0,0,0
72,10,,0,0,0,0,0,0,0,0,0
72,36,85.029831,0,0,0,0,0,0,0,0,0
98,14,,0,0,0,0,0,0,0,0,0
100,34,,0,0,0,0,0,0,0,0,0
86,34,,0,0,0,0,0,0,0,0,0
86,8,,0,0,0,0,0,0,0,0,0
92,18,,0,0,0,0,0,0,0,0,0
90,26,670260.44,0,0,0,0,0,0,0,0,0
98,26,,0,0,0,0,0,0,0,0,0
100,10,,0,0,0,0,0,0,0,0,0
100,12,,0,0,0,0,0,0,0,0,0
84,8,,0,0,0,0,0,0,0,0,0
96,32,,0,0,0,0,0,0,0,0,0
90,14,,0,0,0,0,0,0,0,0,0
88,18,,0,0,0,0,0,0,0,0,0
76,8,236287.5,0,0,0,0,0,0,0,0,0
82,36,,0,0,0,0,0,0,0,0,0
94,8,2603.2854,0,0,0,0,0,0,0,0,0
82,16,327790.84,0,0,0,0,0,0,0,0,0
84,12,,0,0,0,0,0,0,0,0,0
82,32,,0,0,0,0,0,0,0,0,0
98,24,,0,0,0,0,0,0,0,0,0
100,18,,0,0,0,0,0,0,0,0,0
94,16,,0,0,0,0,0,0,0,0,0
100,28,,0,0,0,0,0,0,0,0,0
96,30,344.34964,0,0,0,0,0,0,0,0,0
70,32,,0,0,0,0,0,0,0,0,0
94,20,,0,0,0,0,0,0,0,0,0
68,28,,0,0,0,0,0,0,0,0,0
96,22,,0,0,0,0,0,0,0,0,0
