id,onset_thresh
102134735,44.23095733153792
102134743,36.96965778237159
102134744,40.36776369672458
102134745,39.34981070304648
102134746,38.49612365336211
102134747,42.915681829176336
102134748,41.70587731196595
102145057,44.158987098711926
102145060,43.68102732381514
102145061,45.0484861272043
102145062,40.747356351723134
102145063,41.08522283124044
102145078,44.57131613550558
102145079,48.26863632483036
102145080,49.19721732094026
102145081,43.405479668746395
102145082,45.29161412520078
102145083,48.14691654604737
102145084,56.53100253954526
102145085,54.014078029144244
102145095,56.962499471263385
102154927,38.18572645881677
102154928,38.381933623653424
102154929,38.34396278827094
102154930,38.34396278827094
102154931,38.34396278827094
102154932,36.51840443553161
102154933,37.438274193257094
102154934,41.29502161103777
102154935,38.087142619455065
102154936,40.34277217056141
102154937,38.90538920617786
102154938,38.67353911779107
102154939,36.53612161723009
102154940,38.850879761680524
102154941,40.137935861577986
102154942,41.29502161103777
102154943,40.03970393086145
102154944,40.287411702190624
102154945,38.778051657830375
102165118,39.3548480712457
102165119,40.85615727054785
102165120,38.890472431430375
102165121,39.15317821197637
102165122,40.41968201973319
102165123,40.3298675561378
102165124,38.75659098953189
102165125,41.0113485848074
102165126,41.7137786007813
102165127,41.71913005586596
102174754,38.54895062717986
102174755,38.7257091318065
102174756,36.26042969249261
102174757,35.35559463017912
102174758,35.169399837325
102174759,37.49520916137926
102174760,37.92872735083777
102174761,38.90526416420335
102174762,35.46945583255373
102174763,34.648873961736484
102174764,36.09053722654594
102174765,39.898295870579055
102174766,36.20961252018243
102174767,38.85109313685045
102174768,37.790066161793796
102174769,35.513283382713695
102174770,35.92171519543341
102174771,37.16950460019042
102174772,37.203175055089424
102174773,38.124881983250916
102184965,35.6788815751082
102184966,37.09676839913482
102184967,35.47307458327168
102184968,36.64701888530161
102184969,37.90882664503443
102184970,37.86952014627682
102184971,35.90424409059537
102184972,36.45757771956423
102184973,37.160412738439184
102184974,35.897839251937846
102184975,37.1771491775232
102184976,36.321517784897736
102184977,36.730648453627055
102184978,38.11459004893966
102184979,37.003397981476716
102184980,36.31485278023225
102184981,37.97756041378502
102184982,36.13696556567758
102184983,36.95109596258364
102184984,35.420424319888326
102195006,33.61227476594249
102195007,32.179635965915985
102195010,36.59643703693358
102195011,35.19128058261593
102195012,32.79169053890488
102195013,32.1308582859587
102204749,37.259475086944704
102204750,36.677956895119166
102204751,36.995714807163395
102204752,36.995714807163395
102204753,36.16054112065838
102214896,40.93979809938078
102214897,40.93979809938078
102214898,37.70158221959048
102214899,36.77531307117408
102214900,37.80979098289754
102214901,39.2174006219049
102214902,38.87780868784626
102214903,39.2563991889899
102214904,39.43024727752696
102214905,38.270835446215294
102214906,38.29399640398293
102214907,37.98548370160757
102214908,39.56595006853229
102214909,40.66823973706552
102214910,37.70339827630512
102214911,36.80330998760807
102214912,37.69514223307912
102224946,38.03285393738096
102224947,37.38219142891564
102224948,37.38431495170171
102224949,37.39752670221438
102224950,37.45631269998903
102224951,35.787754141854194
102224952,37.219761703533656
102224953,36.30022075543037
102224954,37.09780944490367
102224955,39.67072623909275
102224956,35.87356540155443
102224957,38.486166444657165
102224958,37.18569415706137
102224959,36.5606986499986
102224960,38.45131607607175
102224961,37.41881020728313
102224962,37.912241170506235
102224963,38.234567041733506
102224964,38.52663518782958
102234654,42.77197038972495
102234655,47.006689658622435
102234656,48.77740656254702
102234657,42.3444388940577
102234658,40.25172420457357
102234659,42.115187021783996
102234660,49.94250785799329
102234661,45.10737865150408
102234662,43.938151829157285
102234663,39.063130914844336
102234664,44.99429911749098
102245038,37.0505822332905
102245039,37.15013952784592
102245040,38.647851372116754
102245041,36.73014295694002
102245042,37.41465136740304
102245043,40.72225613683717
102245044,39.465227055317825
102245045,38.91713429693386
102245046,38.95375734987982
102245047,35.461967643091654
102245048,34.989612358480876
102245049,38.030456008241195
102245050,37.41887262557654
102245051,36.43394598703095
102245052,37.06003134654292
102245053,37.10437188562728
106114821,36.2131210228048
106114822,36.193599632331264
106114823,35.832804002146034
106114824,34.19543347012977
106114825,36.01712646341969
1105675,20.13560740815568
1105676,17.518259926227604
1105677,17.47579504683872
1105678,21.653141549010027
1105783,24.733015575532104
1105784,21.474340111657064
1108324,21.226317979227524
1115723,16.200840686706727
1115724,14.8415009935585
1115725,15.527621846274878
1115726,18.168062167993153
1115832,16.982801664041776
1115833,16.18002012989427
1115834,16.267061445910976
1115835,16.238862851173405
112252483,77.09736585371164
112252487,78.46637391535083
112252489,81.78997512502649
112254786,70.73080838419737
112262482,64.78685428126
112262485,69.90989772437958
112264784,68.23986067548883
112264785,65.38041438860515
112272486,69.92024833477103
112272488,64.82827278562978
112274782,69.4461701650677
112274783,69.38348615394074
112282484,63.15474525856593
112282490,63.440435132166186
112284780,65.23477613048911
112284781,63.158147043800255
1125703,24.583914127458627
1125704,31.28879043593905
1125705,25.711014301909717
1125706,21.028929524509515
1125707,20.93330018368537
1125711,37.47098939591693
1125767,34.97743655790153
1125768,38.72248188466812
1125769,29.33760156786013
1125770,27.39024552359474
1125771,29.683123969399947
1125772,21.474340111657064
1125773,32.886517916293144
1125774,33.745785175931886
1135689,14.814132414256514
1135690,14.697370825081741
1135830,14.912710493689886
1135831,14.912710493689886
1145679,33.192996609048215
1145685,34.64179417148601
1145686,32.44834444354328
1145687,29.79525508950556
1145750,35.08830724363946
1145751,29.81797448953834
1145752,27.22771429282199
1145753,30.0946907166976
115717,18.33493764655702
115718,19.124380914526565
115719,20.612839143252263
115720,18.453863345067244
